Player,Wins,Games played,Kills,Final kills,Final deaths,Beds destroyed,Deaths,Melee kills,Bow kills,Void kills,Arrows hit,Arrows shot,Highest winstreak reached
ohJared,12834,17285,88025,43592,3367,24371,58417,38762,219,22626,1568,4487,297
SUGARCANDYSC,12317,21356,72523,31147,6641,16981,105807,35993,98,22691,2471,9417,323
icyfireSC,11673,15829,63762,30849,3589,14958,68905,37482,690,24909,3353,9071,177
chenmashraki,9886,13274,51483,25114,3156,11644,48407,32301,149,18332,1649,6270,391
rickydwag,9324,17592,72569,37188,7238,22932,53117,49267,106,22893,919,3151,140
NOT_YAHYA,8934,12565,50274,26356,2792,17063,59645,24773,58,15900,546,1551,409
IamArezki,8860,16879,66278,30087,5870,18608,55313,43151,19,22677,302,1161,160
abhisnehdas,8655,13770,56599,25401,4136,14033,52113,35523,3,21009,164,874,165
sandwichbatata,8635,13320,71454,30566,3474,14089,45999,39741,50,31634,1121,4058,225
Adel_cool,8414,12396,62799,30309,2999,18440,41950,21618,21,19574,422,1494,175
Milan_PlayzMC,8406,13846,58184,28612,3698,16502,51610,22695,71,16834,521,1606,310
svit2008,8311,12381,37455,17519,3832,9814,47333,23711,72,13581,734,2318,280
tomiey,8069,11746,50652,22520,2504,11308,41383,30877,65,16079,868,3224,222
teatrix,8037,9977,54411,29414,1656,19740,34364,27163,94,20068,620,1518,509
AFK_AMOGH,7760,15393,44745,18807,6031,7920,66951,26767,169,17605,1700,7147,69
M3ax,7404,9171,47883,24416,1518,8663,20024,31403,93,16375,752,2469,137
adriankal,7390,16987,53260,25933,7944,17554,77953,30752,13,16337,446,1738,162
BHUKING,7281,16953,73795,28317,8340,14578,61278,52207,14,21522,234,957,89
gogli_gamer,7277,12936,53156,24444,4310,11714,54396,35096,92,17509,1145,4980,108
Millena2006,7152,10699,42232,18238,3151,9904,46556,25711,261,13527,1166,4118,136
isco003,7116,17016,60784,25741,7887,18411,71292,33877,26,19736,515,1821,136
Revenge1812,7087,13675,52304,22771,5457,12604,52026,36774,45,15277,363,1180,302
anooby,7023,10926,35987,15663,3355,6592,38771,24372,36,11516,584,2750,140
GamingWithIcons,6971,12689,56035,22803,5603,9781,43228,35917,32,20031,255,1647,109
ItsLmb,6864,8120,43062,23778,823,15135,33422,27382,350,15302,2781,7325,544
NIREEKSHITTH,6808,11225,49238,24468,3726,11200,54946,29908,18,19104,438,1930,174
WolfgangPlayz60,6793,11521,57078,26977,3099,16380,46518,29346,15,17696,373,1326,228
DuciMC,6723,9141,48514,23802,2264,16091,37647,32726,89,15621,911,2527,110
Real_Gab,6674,8820,43764,20859,1626,15250,32926,30112,20,13541,340,1143,311
Nirsik,6670,11623,57050,24708,4557,12743,42224,35749,18,21272,376,2038,105
Dream3399,6645,12138,45998,20494,5029,11000,39679,28474,8,17432,119,621,394
Binayy,6601,11059,39566,18336,3297,9973,51357,23427,7,12376,109,439,293
imascraaab,6544,11625,38434,14990,4399,7486,47758,24955,49,12085,421,2046,96
_joyjoelyan78_,6495,11363,66808,28328,3741,18767,41730,33831,29,18790,542,1625,99
Gaminghacker7,6488,15802,52317,21424,6995,10782,58138,33290,43,17240,794,3064,77
TakshilMinec,6485,10936,47925,20252,3795,8531,52310,29261,49,18601,504,1624,146
TiedTraffic9,6425,9557,44498,21394,2911,12605,30049,30467,5,12031,22,60,502
EpicAnkush27,6424,10747,47538,23056,3926,15620,35805,31356,45,16119,312,1343,104
djekic,6390,9652,43325,24700,2235,18817,49572,24250,38,17740,380,1641,296
XLR8SPIKE,6384,12267,43811,22237,3701,14188,65473,24241,7,16193,215,966,176
Mrays,6289,7280,36637,19712,466,9296,27443,13867,10,11001,262,658,1377
