Player,Games played,Wins,Losses,Highest winstreak reached,Kills,Deaths,Final kills,Final deaths,Beds destroyed,Melee kills,Bow kills,Void kills,Arrows shot,Arrows hit
ohJared,17285,12834,3156,297,88025,58417,43592,3367,24371,38762,219,22626,4487,1568
SUGARCANDYSC,21382,12332,7023,323,72653,105884,31210,6651,17007,36067,98,22747,9417,2471
icyfireSC,15919,11746,3781,177,64217,69260,31066,3605,15054,37757,696,25083,9113,3377
chenmashraki,13280,9890,3122,391,51503,48427,25125,3158,11651,32311,149,18342,6270,1649
rickydwag,17727,9411,6807,140,73190,53477,37525,7286,23143,49678,106,23103,3151,919
NOT_YAHYA,12587,8954,2862,409,50332,59709,26393,2794,17082,24815,58,15916,1551,546
IamArezki,16884,8862,6773,160,66295,55321,30096,5872,18617,43161,19,22684,1161,302
abhisnehdas,13778,8656,4303,165,56630,52139,25417,4142,14051,35545,3,21018,874,164
sandwichbatata,13320,8635,3603,225,71454,45999,30566,3474,14089,39741,50,31634,4058,1121
Adel_cool,12400,8418,2967,175,62818,41959,30323,2999,18453,21632,21,19579,1494,422
Milan_PlayzMC,13854,8408,3836,310,58250,51657,28626,3704,16510,22727,71,16868,1606,521
svit2008,12471,8385,3720,304,37722,47618,17678,3851,9897,23871,72,13685,2327,734
tomiey,11792,8104,2678,222,50901,41521,22614,2516,11360,31031,76,16163,3338,909
teatrix,10040,8096,1663,509,54779,34541,29616,1660,19846,27382,95,20216,1554,632
AFK_AMOGH,15422,7776,6380,69,44797,67045,18830,6045,7923,26797,170,17626,7169,1706
adriankal,17321,7640,8506,162,55020,78999,26873,8021,18237,31969,13,16880,1738,446
callmeobisidian,10085,7624,1696,495,45719,25550,25607,2284,14014,30850,166,14603,2658,999
M3ax,9234,7456,1365,137,48175,20191,24560,1523,8714,31570,93,16500,2469,752
gogli_gamer,13070,7371,4547,108,53742,54781,24713,4343,11824,35510,92,17681,4980,1145
BHUKING,16953,7281,8458,89,73795,61278,28317,8340,14578,52207,14,21522,957,234
Millena2006,10699,7152,3078,136,42232,46556,18238,3151,9904,25711,261,13527,4118,1166
isco003,17018,7116,8577,136,60786,71296,25742,7889,18414,33878,26,19737,1821,515
Revenge1812,13675,7087,5392,302,52304,52026,22771,5457,12604,36774,45,15277,1180,363
anooby,10981,7068,3519,140,36219,38955,15760,3367,6632,24546,36,11573,2776,591
GamingWithIcons,12696,6978,5042,109,56059,43256,22807,5603,9785,35928,32,20044,1647,255
ItsLmb,8189,6928,824,544,43408,33638,23967,827,15264,27584,360,15436,7476,2830
NIREEKSHITTH,11302,6880,3873,181,49614,55214,24674,3730,11320,30138,18,19250,1943,443
