Placement,Player,Clan,Win Rate,K/D Ratio,Final K/D Ratio,Bow Accuracy ,Beds Per Win,Melee/Ranged kill Ratio
1,ohJared,Stud,0.80,1.51,12.95,0.35,1.90,177.00
2,SUGARCANDYSC,N/A,0.64,0.69,4.69,0.26,1.38,368.03
3,icyfireSC,Fallen,0.76,0.93,8.62,0.37,1.28,54.25
5,chenmashraki,BlackListed,0.76,1.06,7.96,0.26,1.18,216.85
7,rickydwag,Virus,0.58,1.37,5.15,0.29,2.46,468.66
8,NOT_YAHYA,BloodLust,0.76,0.84,9.45,0.35,1.91,427.84
9,IamArezki,THEBOIS,0.57,1.20,5.13,0.26,2.10,"2,271.63"
10,abhisnehdas,N/A,0.67,1.09,6.14,0.19,1.62,"11,848.33"
11,sandwichbatata,N/A,0.71,1.55,8.80,0.28,1.63,794.82
12,Adel_cool,N/A,0.74,1.50,10.11,0.28,2.19,"1,030.10"
13,Milan_PlayzMC,Drip,0.69,1.13,7.73,0.32,1.96,320.10
14,svit2008,NEXUS,0.69,0.79,4.59,0.32,1.18,331.54
15,tomiey,Serbia,0.75,1.23,8.99,0.27,1.40,408.30
16,teatrix,BloodLust,0.83,1.59,17.84,0.41,2.45,288.23
17,AFK_AMOGH,Fallen,0.55,0.67,3.11,0.24,1.02,157.63
18,adriankal,NEXUS,0.47,0.70,3.35,0.26,2.39,"2,459.15"
19,callmeobisidian,NEXUS,0.82,1.79,11.21,0.38,1.84,185.84
20,M3ax,FRW,0.85,2.39,16.13,0.30,1.17,339.46
21,gogli_gamer,Fallen,0.62,0.98,5.69,0.23,1.60,385.98
23,BHUKING,ANNOY,0.46,1.20,3.40,0.24,2.00,"3,729.07"
24,Millena2006,ECHO,0.70,0.91,5.79,0.28,1.38,98.51
25,isco003,THEBOIS,0.45,0.85,3.26,0.28,2.59,"1,303.00"
26,Revenge1812,N/A,0.57,1.01,4.17,0.31,1.78,817.20
27,anooby,BloodLust,0.67,0.93,4.68,0.21,0.94,681.83
29,GamingWithIcons,Drip,0.58,1.30,4.07,0.15,1.40,"1,122.75"
30,ItsLmb,BloodLust,0.89,1.29,28.98,0.38,2.20,76.62
31,NIREEKSHITTH,solace,0.64,0.90,6.62,0.23,1.65,"1,674.33"
32,WolfgangPlayz60,BestPPL,0.68,1.23,8.70,0.28,2.41,"1,957.73"
34,DuciMC,N/A,0.74,1.29,10.51,0.36,2.39,367.83
35,Nirsik,Fallen,0.61,1.35,5.44,0.18,1.91,"1,994.94"
36,Real_Gab,BloodLust,0.79,1.33,12.83,0.30,2.28,"1,505.60"
37,Dream3399,N/A,0.58,1.16,4.07,0.19,1.66,"3,561.25"
38,Binayy,Stud,0.67,0.77,5.56,0.25,1.51,"3,346.71"
39,imascraaab,MeoW,0.61,0.81,3.41,0.21,1.14,510.80
41,Gaminghacker7,THEBOIS,0.47,0.90,3.06,0.26,1.66,775.91
42,_joyjoelyan78_,Altair,0.62,1.60,7.57,0.33,2.89,"1,166.59"
43,TakshilMinec,Tacos,0.63,0.92,5.33,0.31,1.32,598.00
44,TiedTraffic9,Gem,0.71,1.48,7.38,0.37,1.96,"6,136.00"
45,EpicAnkush27,N/A,0.63,1.33,5.87,0.23,2.43,696.80
46,djekic,ZEUS,0.71,0.87,11.05,0.23,2.94,638.16
47,XLR8SPIKE,N/A,0.59,0.67,6.01,0.22,2.22,"3,463.00"
48,Mrays,Tragedy,0.93,1.34,42.30,0.40,1.48,"1,386.70"
49,DexteR3_,N/A,0.58,0.96,7.16,0.31,2.87,519.82
50,RachuCiachu,N/A,0.66,1.19,7.35,0.28,2.50,207.57
51,ToqqleKey,N/A,0.81,1.54,13.55,0.28,1.66,136.58
53,cal_maximal,Gem,0.64,1.33,5.80,0.35,2.65,25.98
54,rauf_gamer,Invincibles,0.50,0.84,2.67,0.29,1.57,473.64
55,MagLS,TeaParty,0.51,1.41,3.40,0.32,1.88,3.73
56,Kaiwie_,Gem,0.50,0.61,3.78,0.61,1.97,"1,970.36"
57,Devilop27,N/A,0.59,0.93,4.25,0.25,1.44,255.58
58,Begone124,N/A,0.33,0.67,2.14,0.28,2.64,333.87
59,miracle_sumy,N/A,0.65,1.39,4.61,0.19,0.96,"1,846.18"
60,zamasu666,NEXUS,0.63,0.80,2.95,0.14,1.02,418.42
61,HetPatel729,N/A,0.59,0.96,3.45,0.19,1.32,"3,377.57"
62,Georno77,RIP,0.68,1.33,7.69,0.29,2.09,644.32
63,RenderDistance2,N/A,0.74,1.90,11.51,0.38,2.92,"1,171.11"
64,nugget249,MONGOLOID,0.69,1.45,9.03,0.20,1.79,"2,930.80"
65,SnackMe,N/A,0.74,1.10,9.50,0.35,1.55,592.38
66,IYBRohan,Gem,0.45,0.74,2.87,0.33,2.29,252.75
67,DreamyXero,UmayFanClub,0.80,1.40,12.09,0.34,1.65,62.92
68,OhHqrizon_,TNG,0.79,1.06,16.34,0.39,1.84,612.86
69,harshil_mc,THEBOIS,0.75,1.65,8.45,0.35,2.00,124.98
70,ITSABHINAV,HAH,0.66,1.77,7.13,0.29,2.83,69.41
71,hqd_d,NEXUS,0.79,2.69,14.06,0.28,2.35,90.05
72,Jaruwu2,Virus,0.57,1.14,4.41,0.04,2.04,"13,234.50"
73,HAMHASH11223344,N/A,0.44,0.86,2.88,0.35,2.02,352.90
74,Its_Illusion_YT,Fallen,0.58,1.38,3.50,0.22,1.03,"8,451.33"
75,XxSweetCandyxX,Violet,0.47,1.18,3.49,0.38,1.81,16.73
